기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20241,11740,강동구,CS300043,소매(전자제품),2018.0,2022.0,0.1,3.0,5.8,117.0,4.0
20241,11740,강동구,CS300039,소매(운송),19.0,19.0,0.0,0.0,0.0,0.0,0.0
20241,11740,강동구,CS300038,소매(운송),91.0,93.0,1.1,1.0,1.1,1.0,2.0
20241,11740,강동구,CS300036,소매(가구),137.0,137.0,0.0,0.0,2.9,4.0,0.0
20241,11740,강동구,CS300032,소매(전자제품),137.0,137.0,0.0,0.0,3.6,5.0,0.0
20241,11740,강동구,CS300031,소매(가구),107.0,107.0,0.9,1.0,1.9,2.0,0.0
20241,11740,강동구,CS300030,소매(가구),3.0,4.0,0.0,0.0,0.0,0.0,1.0
20241,11740,강동구,CS300029,반려동물,122.0,124.0,11.3,14.0,3.2,4.0,2.0
20241,11740,강동구,CS300026,소매(서적/문구),41.0,41.0,0.0,0.0,2.4,1.0,0.0
20241,11740,강동구,CS300025,소매(운송),81.0,81.0,2.5,2.0,1.2,1.0,0.0
20241,11740,강동구,CS300024,소매(스포츠),194.0,194.0,3.1,6.0,1.5,3.0,0.0
20241,11740,강동구,CS300023,소매(미용),68.0,69.0,1.4,1.0,1.4,1.0,1.0
20241,11740,강동구,CS300022,소매(미용),552.0,583.0,2.4,14.0,2.7,16.0,31.0
20241,11740,강동구,CS300021,소매(서적/문구),134.0,148.0,2.0,3.0,2.7,4.0,14.0
20241,11740,강동구,CS300020,소매(서적/문구),116.0,119.0,2.5,3.0,2.5,3.0,3.0
20241,11740,강동구,CS300019,소매(의료),149.0,149.0,0.0,0.0,3.4,5.0,0.0
20241,11740,강동구,CS300018,소매(의료),403.0,433.0,2.3,10.0,1.8,8.0,30.0
20241,11740,강동구,CS300016,소매(안경),70.0,91.0,2.2,2.0,0.0,0.0,21.0
20241,11740,강동구,CS300015,소매(의류),92.0,92.0,2.2,2.0,7.6,7.0,0.0
20241,11740,강동구,CS300014,소매(의류),109.0,111.0,0.9,1.0,0.9,1.0,2.0
20241,11740,강동구,CS300013,소매(의류),125.0,125.0,0.0,0.0,4.0,5.0,0.0
20241,11740,강동구,CS300012,소매(의류),15.0,15.0,0.0,0.0,0.0,0.0,0.0
20241,11740,강동구,CS300011,소매(의류),966.0,971.0,0.8,8.0,2.8,27.0,5.0
20241,11740,강동구,CS300010,소매(식품),401.0,407.0,2.7,11.0,3.9,16.0,6.0
20241,11740,강동구,CS300009,소매(식품),215.0,216.0,3.7,8.0,3.7,8.0,1.0
20241,11740,강동구,CS300008,소매(식품),116.0,116.0,0.9,1.0,5.2,6.0,0.0
20241,11740,강동구,CS300007,소매(식품),228.0,229.0,2.2,5.0,2.6,6.0,1.0
20241,11740,강동구,CS300006,소매(식품),111.0,111.0,0.0,0.0,3.6,4.0,0.0
20241,11740,강동구,CS300004,소매(전자제품),163.0,169.0,0.6,1.0,5.3,9.0,6.0
20241,11740,강동구,CS300003,소매(전자제품),196.0,196.0,0.5,1.0,1.5,3.0,0.0
20241,11740,강동구,CS300002,소매(생활),34.0,427.0,2.8,12.0,2.8,12.0,393.0
20241,11740,강동구,CS300001,소매(생활),500.0,512.0,3.9,20.0,2.5,13.0,12.0
20241,11740,강동구,CS200038,교육/학원,99.0,115.0,2.6,3.0,1.7,2.0,16.0
20241,11740,강동구,CS200037,스포츠/여가,227.0,231.0,2.2,5.0,2.2,5.0,4.0
20241,11740,강동구,CS200036,숙박업,13.0,13.0,0.0,0.0,0.0,0.0,0.0
20241,11740,강동구,CS200035,숙박업,5.0,5.0,0.0,0.0,0.0,0.0,0.0
20241,11740,강동구,CS200034,숙박업,105.0,106.0,5.7,6.0,3.8,4.0,1.0
20241,11740,강동구,CS200033,부동산,1320.0,1321.0,0.1,1.0,1.7,23.0,1.0
20241,11740,강동구,CS200032,전자제품 관련 서비스,129.0,129.0,0.0,0.0,3.9,5.0,0.0
20241,11740,강동구,CS200030,미용,339.0,347.0,6.1,21.0,3.5,12.0,8.0
20241,11740,강동구,CS200029,미용,153.0,154.0,0.0,0.0,1.3,2.0,1.0
20241,11740,강동구,CS200028,미용,907.0,970.0,2.2,21.0,2.1,20.0,63.0
20241,11740,강동구,CS200027,차량 관련 서비스,25.0,25.0,4.0,1.0,0.0,0.0,0.0
20241,11740,강동구,CS200026,차량 관련 서비스,56.0,62.0,1.6,1.0,6.5,4.0,6.0
20241,11740,강동구,CS200025,차량 관련 서비스,187.0,211.0,1.4,3.0,0.5,1.0,24.0
20241,11740,강동구,CS200024,스포츠/여가,77.0,87.0,1.1,1.0,5.7,5.0,10.0
20241,11740,강동구,CS200021,스포츠/여가,74.0,75.0,17.3,13.0,2.7,2.0,1.0
20241,11740,강동구,CS200020,스포츠/여가,7.0,7.0,0.0,0.0,0.0,0.0,0.0
20241,11740,강동구,CS200019,스포츠/여가,42.0,46.0,0.0,0.0,6.5,3.0,4.0
20241,11740,강동구,CS200018,스포츠/여가,5.0,5.0,0.0,0.0,0.0,0.0,0.0
20241,11740,강동구,CS200017,스포츠/여가,80.0,86.0,1.2,1.0,1.2,1.0,6.0
20241,11740,강동구,CS200016,스포츠/여가,150.0,153.0,4.6,7.0,6.5,10.0,3.0
20241,11740,강동구,CS200009,반려동물,53.0,53.0,1.9,1.0,1.9,1.0,0.0
20241,11740,강동구,CS200008,필수의료,197.0,197.0,3.6,7.0,3.0,6.0,0.0
20241,11740,강동구,CS200007,필수의료,233.0,233.0,0.4,1.0,0.4,1.0,0.0
20241,11740,강동구,CS200006,필수의료,428.0,428.0,1.4,6.0,0.9,4.0,0.0
20241,11740,강동구,CS200005,교육/학원,264.0,276.0,5.1,14.0,4.3,12.0,12.0
20241,11740,강동구,CS200004,교육/학원,8.0,8.0,0.0,0.0,0.0,0.0,0.0
20241,11740,강동구,CS200003,교육/학원,366.0,393.0,6.4,25.0,3.8,15.0,27.0
20241,11740,강동구,CS200002,교육/학원,330.0,365.0,9.3,34.0,2.2,8.0,35.0
20241,11740,강동구,CS200001,교육/학원,631.0,702.0,0.9,6.0,4.0,28.0,71.0
20241,11740,강동구,CS100010,카페 및 베이커리,611.0,807.0,5.3,43.0,6.3,51.0,196.0
20241,11740,강동구,CS100009,주점,294.0,349.0,2.0,7.0,4.6,16.0,55.0
20241,11740,강동구,CS100008,식당,455.0,570.0,5.3,30.0,5.4,31.0,115.0
20241,11740,강동구,CS100007,식당,125.0,272.0,5.5,15.0,5.5,15.0,147.0
20241,11740,강동구,CS100006,식당,138.0,243.0,2.9,7.0,4.5,11.0,105.0
20241,11740,강동구,CS100005,카페 및 베이커리,175.0,245.0,4.5,11.0,3.7,9.0,70.0
20241,11740,강동구,CS100004,식당,184.0,203.0,2.5,5.0,6.9,14.0,19.0
20241,11740,강동구,CS100003,식당,237.0,253.0,5.9,15.0,4.3,11.0,16.0
20241,11740,강동구,CS100002,식당,166.0,180.0,3.9,7.0,5.6,10.0,14.0
20241,11740,강동구,CS100001,식당,2034.0,2211.0,3.3,72.0,3.4,76.0,177.0
20241,11710,송파구,CS300043,소매(전자제품),3377.0,3389.0,0.0,0.0,4.6,156.0,12.0
20241,11710,송파구,CS300039,소매(운송),30.0,30.0,3.3,1.0,0.0,0.0,0.0
20241,11710,송파구,CS300038,소매(운송),191.0,193.0,0.0,0.0,0.5,1.0,2.0
20241,11710,송파구,CS300036,소매(가구),416.0,417.0,0.0,0.0,1.2,5.0,1.0
20241,11710,송파구,CS300032,소매(전자제품),215.0,215.0,0.0,0.0,0.0,0.0,0.0
20241,11710,송파구,CS300031,소매(가구),258.0,258.0,1.2,3.0,1.2,3.0,0.0
20241,11710,송파구,CS300030,소매(가구),2.0,2.0,0.0,0.0,0.0,0.0,0.0
20241,11710,송파구,CS300029,반려동물,187.0,191.0,5.8,11.0,3.7,7.0,4.0
20241,11710,송파구,CS300026,소매(서적/문구),61.0,62.0,3.2,2.0,0.0,0.0,1.0
20241,11710,송파구,CS300025,소매(운송),66.0,66.0,1.5,1.0,3.0,2.0,0.0
20241,11710,송파구,CS300024,소매(스포츠),336.0,336.0,1.8,6.0,0.9,3.0,0.0
20241,11710,송파구,CS300023,소매(미용),98.0,99.0,2.0,2.0,4.0,4.0,1.0
20241,11710,송파구,CS300022,소매(미용),1013.0,1073.0,1.9,20.0,3.3,35.0,60.0
20241,11710,송파구,CS300021,소매(서적/문구),252.0,277.0,1.4,4.0,1.1,3.0,25.0
20241,11710,송파구,CS300020,소매(서적/문구),174.0,177.0,2.3,4.0,1.1,2.0,3.0
20241,11710,송파구,CS300019,소매(의료),195.0,197.0,0.0,0.0,1.5,3.0,2.0
20241,11710,송파구,CS300018,소매(의료),709.0,747.0,1.7,13.0,1.2,9.0,38.0
20241,11710,송파구,CS300016,소매(안경),117.0,160.0,1.3,2.0,1.3,2.0,43.0
20241,11710,송파구,CS300015,소매(의류),155.0,156.0,0.6,1.0,2.6,4.0,1.0
20241,11710,송파구,CS300014,소매(의류),189.0,191.0,0.5,1.0,4.2,8.0,2.0
20241,11710,송파구,CS300013,소매(의류),201.0,202.0,0.5,1.0,3.0,6.0,1.0
20241,11710,송파구,CS300012,소매(의류),17.0,17.0,5.9,1.0,0.0,0.0,0.0
20241,11710,송파구,CS300011,소매(의류),1822.0,1830.0,0.7,13.0,2.9,53.0,8.0
20241,11710,송파구,CS300010,소매(식품),894.0,911.0,2.6,24.0,2.1,19.0,17.0
20241,11710,송파구,CS300009,소매(식품),2055.0,2060.0,0.5,10.0,1.4,29.0,5.0
20241,11710,송파구,CS300008,소매(식품),967.0,968.0,0.2,2.0,1.1,11.0,1.0
20241,11710,송파구,CS300007,소매(식품),456.0,460.0,1.3,6.0,3.0,14.0,4.0
20241,11710,송파구,CS300006,소매(식품),166.0,166.0,0.6,1.0,1.8,3.0,0.0
20241,11710,송파구,CS300004,소매(전자제품),223.0,228.0,0.0,0.0,2.6,6.0,5.0
20241,11710,송파구,CS300003,소매(전자제품),485.0,485.0,0.2,1.0,2.3,11.0,0.0
20241,11710,송파구,CS300002,소매(생활),68.0,695.0,1.2,8.0,2.2,15.0,627.0
20241,11710,송파구,CS300001,소매(생활),769.0,800.0,3.9,31.0,2.0,16.0,31.0
20241,11710,송파구,CS200038,교육/학원,171.0,191.0,4.2,8.0,12.6,24.0,20.0
20241,11710,송파구,CS200037,스포츠/여가,445.0,456.0,2.6,12.0,2.6,12.0,11.0
20241,11710,송파구,CS200036,숙박업,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20241,11710,송파구,CS200035,숙박업,12.0,13.0,0.0,0.0,7.7,1.0,1.0
20241,11710,송파구,CS200034,숙박업,132.0,132.0,9.1,12.0,7.6,10.0,0.0
20241,11710,송파구,CS200033,부동산,2092.0,2092.0,0.0,0.0,2.4,51.0,0.0
20241,11710,송파구,CS200032,전자제품 관련 서비스,141.0,141.0,1.4,2.0,0.7,1.0,0.0
20241,11710,송파구,CS200030,미용,668.0,686.0,4.5,31.0,2.8,19.0,18.0
20241,11710,송파구,CS200029,미용,229.0,235.0,0.0,0.0,2.1,5.0,6.0
20241,11710,송파구,CS200028,미용,1182.0,1275.0,2.1,27.0,1.5,19.0,93.0
20241,11710,송파구,CS200027,차량 관련 서비스,24.0,24.0,0.0,0.0,0.0,0.0,0.0
20241,11710,송파구,CS200026,차량 관련 서비스,109.0,112.0,2.7,3.0,5.4,6.0,3.0
20241,11710,송파구,CS200025,차량 관련 서비스,264.0,290.0,1.0,3.0,1.4,4.0,26.0
20241,11710,송파구,CS200024,스포츠/여가,188.0,200.0,0.0,0.0,3.0,6.0,12.0
20241,11710,송파구,CS200021,스포츠/여가,112.0,115.0,2.6,3.0,4.3,5.0,3.0
20241,11710,송파구,CS200020,스포츠/여가,11.0,11.0,0.0,0.0,0.0,0.0,0.0
20241,11710,송파구,CS200019,스포츠/여가,48.0,52.0,0.0,0.0,9.6,5.0,4.0
20241,11710,송파구,CS200018,스포츠/여가,12.0,12.0,0.0,0.0,0.0,0.0,0.0
20241,11710,송파구,CS200017,스포츠/여가,168.0,177.0,2.3,4.0,1.1,2.0,9.0
20241,11710,송파구,CS200016,스포츠/여가,232.0,237.0,2.5,6.0,3.4,8.0,5.0
20241,11710,송파구,CS200009,반려동물,75.0,77.0,1.3,1.0,0.0,0.0,2.0
20241,11710,송파구,CS200008,필수의료,261.0,261.0,0.4,1.0,0.0,0.0,0.0
20241,11710,송파구,CS200007,필수의료,341.0,341.0,1.5,5.0,0.9,3.0,0.0
20241,11710,송파구,CS200006,필수의료,636.0,639.0,2.3,15.0,1.4,9.0,3.0
20241,11710,송파구,CS200005,교육/학원,488.0,501.0,6.2,31.0,3.0,15.0,13.0
20241,11710,송파구,CS200004,교육/학원,18.0,18.0,0.0,0.0,0.0,0.0,0.0
20241,11710,송파구,CS200003,교육/학원,587.0,615.0,2.8,17.0,2.4,15.0,28.0
20241,11710,송파구,CS200002,교육/학원,484.0,534.0,7.5,40.0,2.6,14.0,50.0
20241,11710,송파구,CS200001,교육/학원,876.0,973.0,1.8,18.0,3.2,31.0,97.0
20241,11710,송파구,CS100010,카페 및 베이커리,1105.0,1479.0,4.9,72.0,6.2,91.0,374.0
20241,11710,송파구,CS100009,주점,334.0,407.0,2.0,8.0,3.4,14.0,73.0
20241,11710,송파구,CS100008,식당,740.0,917.0,4.0,37.0,5.2,48.0,177.0
20241,11710,송파구,CS100007,식당,126.0,330.0,3.9,13.0,4.8,16.0,204.0
20241,11710,송파구,CS100006,식당,215.0,408.0,6.1,25.0,5.4,22.0,193.0
20241,11710,송파구,CS100005,카페 및 베이커리,244.0,358.0,2.0,7.0,4.7,17.0,114.0
20241,11710,송파구,CS100004,식당,479.0,517.0,4.1,21.0,5.2,27.0,38.0
20241,11710,송파구,CS100003,식당,538.0,578.0,4.8,28.0,3.6,21.0,40.0
20241,11710,송파구,CS100002,식당,243.0,266.0,2.3,6.0,4.1,11.0,23.0
20241,11710,송파구,CS100001,식당,3172.0,3516.0,3.6,126.0,4.1,145.0,344.0
20241,11680,강남구,CS300043,소매(전자제품),4107.0,4119.0,0.0,2.0,4.2,173.0,12.0
20241,11680,강남구,CS300039,소매(운송),18.0,18.0,0.0,0.0,11.1,2.0,0.0
20241,11680,강남구,CS300038,소매(운송),222.0,224.0,0.0,0.0,0.9,2.0,2.0
20241,11680,강남구,CS300036,소매(가구),439.0,440.0,0.2,1.0,0.7,3.0,1.0
20241,11680,강남구,CS300032,소매(전자제품),302.0,304.0,0.3,1.0,0.3,1.0,2.0
20241,11680,강남구,CS300031,소매(가구),448.0,448.0,0.4,2.0,3.1,14.0,0.0
20241,11680,강남구,CS300030,소매(가구),6.0,6.0,0.0,0.0,0.0,0.0,0.0
20241,11680,강남구,CS300029,반려동물,260.0,264.0,2.3,6.0,2.3,6.0,4.0
20241,11680,강남구,CS300026,소매(서적/문구),101.0,103.0,1.0,1.0,2.9,3.0,2.0
20241,11680,강남구,CS300025,소매(운송),40.0,40.0,0.0,0.0,2.5,1.0,0.0
20241,11680,강남구,CS300024,소매(스포츠),572.0,572.0,1.6,9.0,1.2,7.0,0.0
20241,11680,강남구,CS300023,소매(미용),152.0,152.0,2.6,4.0,1.3,2.0,0.0
20241,11680,강남구,CS300022,소매(미용),2770.0,2877.0,1.5,43.0,1.2,35.0,107.0
20241,11680,강남구,CS300021,소매(서적/문구),310.0,364.0,2.2,8.0,0.8,3.0,54.0
20241,11680,강남구,CS300020,소매(서적/문구),277.0,282.0,1.4,4.0,2.5,7.0,5.0
20241,11680,강남구,CS300019,소매(의료),235.0,235.0,0.4,1.0,0.9,2.0,0.0
20241,11680,강남구,CS300018,소매(의료),917.0,977.0,3.1,30.0,1.2,12.0,60.0
20241,11680,강남구,CS300016,소매(안경),195.0,236.0,0.8,2.0,1.7,4.0,41.0
20241,11680,강남구,CS300015,소매(의류),314.0,315.0,1.3,4.0,2.2,7.0,1.0
20241,11680,강남구,CS300014,소매(의류),240.0,243.0,1.2,3.0,4.1,10.0,3.0
20241,11680,강남구,CS300013,소매(의류),209.0,209.0,0.0,0.0,2.9,6.0,0.0
20241,11680,강남구,CS300012,소매(의류),59.0,59.0,6.8,4.0,0.0,0.0,0.0
20241,11680,강남구,CS300011,소매(의류),3292.0,3302.0,1.4,46.0,1.8,60.0,10.0
20241,11680,강남구,CS300010,소매(식품),898.0,908.0,2.1,19.0,0.9,8.0,10.0
20241,11680,강남구,CS300009,소매(식품),165.0,167.0,0.0,0.0,1.2,2.0,2.0
20241,11680,강남구,CS300008,소매(식품),140.0,140.0,0.0,0.0,2.9,4.0,0.0
20241,11680,강남구,CS300007,소매(식품),219.0,221.0,0.9,2.0,3.6,8.0,2.0
20241,11680,강남구,CS300006,소매(식품),187.0,187.0,0.0,0.0,0.0,0.0,0.0
20241,11680,강남구,CS300004,소매(전자제품),204.0,207.0,0.0,0.0,2.4,5.0,3.0
20241,11680,강남구,CS300003,소매(전자제품),773.0,774.0,0.5,4.0,2.1,16.0,1.0
20241,11680,강남구,CS300002,소매(생활),82.0,958.0,1.9,18.0,4.5,43.0,876.0
20241,11680,강남구,CS300001,소매(생활),942.0,995.0,3.1,31.0,1.9,19.0,53.0
20241,11680,강남구,CS200038,교육/학원,253.0,267.0,4.1,11.0,7.9,21.0,14.0
20241,11680,강남구,CS200037,스포츠/여가,212.0,220.0,1.4,3.0,5.5,12.0,8.0
20241,11680,강남구,CS200036,숙박업,11.0,11.0,0.0,0.0,18.2,2.0,0.0
20241,11680,강남구,CS200035,숙박업,31.0,32.0,0.0,0.0,6.3,2.0,1.0
20241,11680,강남구,CS200034,숙박업,189.0,189.0,5.3,10.0,2.1,4.0,0.0
20241,11680,강남구,CS200033,부동산,4206.0,4208.0,0.1,6.0,1.4,58.0,2.0
20241,11680,강남구,CS200032,전자제품 관련 서비스,112.0,112.0,1.8,2.0,1.8,2.0,0.0
20241,11680,강남구,CS200030,미용,1091.0,1128.0,5.2,59.0,2.9,33.0,37.0
20241,11680,강남구,CS200029,미용,326.0,337.0,0.0,0.0,2.4,8.0,11.0
20241,11680,강남구,CS200028,미용,1443.0,1545.0,2.1,32.0,1.5,23.0,102.0
20241,11680,강남구,CS200027,차량 관련 서비스,36.0,36.0,0.0,0.0,11.1,4.0,0.0
20241,11680,강남구,CS200026,차량 관련 서비스,138.0,140.0,1.4,2.0,1.4,2.0,2.0
20241,11680,강남구,CS200025,차량 관련 서비스,272.0,292.0,1.0,3.0,0.0,0.0,20.0
20241,11680,강남구,CS200024,스포츠/여가,264.0,274.0,0.7,2.0,4.0,11.0,10.0
20241,11680,강남구,CS200021,스포츠/여가,137.0,140.0,6.4,9.0,2.9,4.0,3.0
20241,11680,강남구,CS200020,스포츠/여가,11.0,11.0,0.0,0.0,9.1,1.0,0.0
20241,11680,강남구,CS200019,스포츠/여가,51.0,55.0,0.0,0.0,3.6,2.0,4.0
20241,11680,강남구,CS200018,스포츠/여가,10.0,10.0,0.0,0.0,0.0,0.0,0.0
20241,11680,강남구,CS200017,스포츠/여가,249.0,272.0,2.9,8.0,4.0,11.0,23.0
20241,11680,강남구,CS200016,스포츠/여가,302.0,308.0,2.3,7.0,3.6,11.0,6.0
20241,11680,강남구,CS200009,반려동물,91.0,93.0,0.0,0.0,0.0,0.0,2.0
20241,11680,강남구,CS200008,필수의료,397.0,397.0,2.5,10.0,2.0,8.0,0.0
20241,11680,강남구,CS200007,필수의료,559.0,559.0,1.6,9.0,1.6,9.0,0.0
