,대화 상황,학년,대화
0,장래 희망에 대한 대화,md1,"A: I’m interested in flying airplanes. B: Do you want to be a pilot? A: Yes, I do. How about you? B: I want to be a fashion designer"
1,책에 대한 대화,md1,A: What do you think about this book? B: A History of Black Holes? I think it’ll be difficult. A: I don’t agree I think it’ll be very interesting B: Hmm . . . I didn’t know you were interested in black holes.
2,대회 우승을 축하하는 대화,md1,"B: You know what? My team won the soccer tournament. W: Congratulations, Minsu! I’m really happy for you. B: Thanks, Ms. Kim. I’m really happy"
3,방학 계획에 대한 대화,md1,"B: Do you have any plans for this summer vacation? G: Yes. I’m going to travel to Venice with my family. B: That’s awesome! What are you going to do there G: A lot of things, but we’re going to ride a gondola for sure."
4,요리에 대한 대화,md1,B: What do you think about this pasta? G: I think it’s pretty good. B: I don’t think so I think it’s too salty. G: Really? It’s OK for me.
5,핸드폰 중독에 대한 대화,hi1,"A: Stella, have you noticed how much time you spend on your phone every day? B: Yeah, Liam. I can’t put it down. A: It’s not healthy to spend so much time staring at a screen. Why don’t you try putting your phone away for an hour each day? B: I’ll try, but I’m worried I’ll get bored."
6,배구 대회에 대한 대화,hi1,"A: Did you hear about the volleyball championship game tonight? B: No, I haven’t. Who’s playing? A: The Avengers are playing the Hurricanes. B: Really? I’m surprised that the Avengers are in the championship game. A: I know. They were the worst team last year. I believe this is going to be one interesting game."
7,영화 티켓 가격에 대한 대화,hi1,"A: Movie tickets are so expensive these days. B: That’s true, but certain movies are worth the price. For example, the special effects feel more realistic when we watch 4D movies in theaters. A: Hmm. That’s a good point"
8,여행에 대한 대화,hi1,A: Are you interested in traveling around the world B: Yes. I’d like to explore different cultures and try new things. A: Which country would you like to visit the most? B: I’ve always wanted to visit Morocco.
9,동참을 제안하는 대화,md1,"G: My friends and I are going to go to Yangyang this weekend. B: Yangyang is great for surfing. Are you going to surf? G: Yes, we’re going to learn surfing. I’m excited about it."
10,동참을 제안하는 대화,md1,"G: My friends and I are going to go to Yangyang this weekend. B: Yangyang is great for surfing. Are you going to surf? G: Yes, we’re going to learn surfing. I’m really looking forward to it."
11,핸드폰 구매에 대한 대화,md1,"G: My phone is not working. I need to get a new one. B: Look! Here are the new models. How about this one? G: Wow, I like it. It’s very light. B: I agree. It’s lighter than mine."
12,핸드폰 구매에 대한 대화,md1,"G: My phone is not working. I need to get a new one. B: Look! Here are the new models. How do you feel about this one? G: Wow, I like it. It’s very light. B: I agree. It’s lighter than mine."
13,핸드폰 구매에 대한 대화,md1,"G: My phone is not working. I need to get a new one. B: Look! Here are the new models. What do you think about this one? G: Wow, I like it. It’s very light. B: I agree. It’s lighter than mine."
14,교실 공지판 제작에 대한 대화,hi1,"A: Hi, Aiden. What are you doing? B: I'm creating a notice board for the classroom. Do you have any advice? A: Be sure not to make the text too small. Students need to be able to read it from a distance. B: Yeah, I'll have to make it bigger. Thanks."
15,교실 공지판 제작에 대한 대화,hi1,"A: Hi, Aiden. What are you doing? B: I'm creating a notice board for the classroom. Do you have any advice? A: You shouldn’t make the text too small. Students need to be able to read it from a distance. B: Yeah, I'll have to make it bigger. Thanks."
16,교실 공지판 제작에 대한 대화,hi1,"A: Hi, Aiden. What are you doing? B: I'm creating a notice board for the classroom. Do you have any advice? A: Be careful not to make the text too small. Students need to be able to read it from a distance. B: Yeah, I'll have to make it bigger. Thanks."
17,교실 공지판 제작에 대한 대화,hi1,"A: Hi, Aiden. What are you doing? B: I'm creating a notice board for the classroom. Do you have any advice? A: Make sure you don’t make the text too small. Students need to be able to read it from a distance. B: Yeah, I'll have to make it bigger. Thanks."
18,좋아하는 과목에 대한 대화,md1,"Jiho: I like science. Do you like science? Lucy: No, I don’t. I like math."
19,어제 한 일에 대한 대화,md1,"A: I had a good time yesterday. B: You went to the mall, right? A: Yes, my mom and I ate delicious food. B: Did you watch a movie? A: No, we didn’t watch a movie."
20,여름 계획에 대한 대화,md1,A: What will you do this summer? B: I'll join the music festival
21,취침 시간에 대한 대화,md1,"A: Can I watch TV? B: Sorry, you can't It's time for bed."
22,일정이나 바쁜 상황에 대한 대화,md1,"A: I'm sorry, but I can't. I'm busy now"
23,캥거루에 대한 대화,md1,"A: Do you know anything about kangaroos? B: Yes, I do. They can jump high"
24,지구 환경 보호에 대한 대화,md1,A: What can we do for the Earth? B: We can turn off the light
25,소지품에 대한 대화,md1,"A: Is this your mom’s bag?  B: Yes, it is. It’s hers."
26,친구들과의 여가 활동에 대한 대화,md1,A: What did you do yesterday B: I played soccer with my friends.
27,전시물에 대한 규칙에 대한 대화,md1,"G: Excuse me. May I touch this golden bear? M: No, you may not You must not touch anything in this room. G: OK, I understand."
28,실내 환경 조절에 대한 대화,md1,"W: Excuse me, but can you please close the door? The air conditioner is on. B: Oh, I didn’t know that. I’ll close it right away. W: Thanks."
29,실내 환경 조절에 대한 대화,md1,"W: Excuse me, but can you please close the door? The air conditioner is on. B: Oh, I didn’t know that. I’ll close it right away. W: Thanks."
30,작곡에 대한 대화,md1,"G: What’s this music, Hojin? It’s awesome. B: I’m writing a song with this computer program. G: You’re very good. Do you want to be a songwriter B: Yes, I’m really interested in writing songs."
31,대회 우승을 축하하는 대화,md1,"B: You know what? My team won the soccer tournament. W: Congratulations, Minsu! I’m really happy for you. B: Thanks, Ms. Kim. I’m really happy"
32,건강 문제에 대한 대화,md1,A: I have a fever. B: Take this medicine
33,건강 문제에 대한 대화,md1,A: What's wrong? B: I have a headache
34,명령과 응답에 대한 대화,md1,"A: Stand up, please. B: Okay"
35,친구 간의 부탁에 대한 대화,md1,A: Can you do me a favor? B: No problem
36,음식 주문에 대한 대화,md1,A: May I take your order? B: I'd like a chicken salad
37,모자에 대한 대화,md1,A: What would you like to try? B: I'd like to try a hat
38,흥미로운 주제에 대한 의견 교환,md1,A: It looks interesting. What do you think? B: I think so
39,수학에 대한 의견 교환,md1,A: What do you think about Math? B: I think it's hard
40,주제: 주말 활동에 대한 대화,md1,A: What did you do last weekend? B: I swam at the beach
41,주말 계획에 대한 대화,hi1,A: What are you going to do this weekend? B: I’m planning to go to a concert on Saturday. A: That’s great!
42,축구 클럽 가입에 대한 대화,hi1,A: Why don't you join a soccer club with me? B: It sounds great. I'd love to join you.
43,영화 관람 경험에 대한 대화,hi1,"A: I wonder why so many people still go to movie theaters  We can enjoy movies at home. B: Well, you can’t experience the big screen and surround sound at home."
44,영화 관람 경험에 대한 대화,hi1,B: Watching a movie with an audience in a theater makes it more exciting.  Don’t you agree A: You’re right. Maybe I’ll pay a visit to a theater soon.
45,수영 경력에 대한 대화,hi1,"A: Minjun, congratulations on winning the swimming competition! B: Thank you. It was a close race. A: So what are you planning to do next in your swimming career? B: I’m planning to train harder and try for the state championship"
46,영감을 주는 대화,hi1,"A: That's impressive. You have many young fans who want to be like you.?? ? ?Any words for them??B: Keep at it and you will succeed. A: Thanks, Minjun. Good luck with your training!"
47,여행지 선택에 대한 대화,hi1,"A: Which country would you like to visit the most? B: I’ve always wanted to visit Morocco. A: Oh, I’ve never thought of visiting Morocco. I don’t know much about the country. B: Neither do I. But if I ever get the chance to visit Morocco, I’ll make sure to do some research before going there I think it’s important to understand the local culture before traveling."
48,여행과 문화 이해에 대한 대화,hi1,"B: I think it’s important to understand the local culture before traveling. A: I totally agree with you. I hope you get to visit Morocco someday B Thank you, I hope so too."
49,배달 음식과 요리에 대한 대화,hi1,A: I order delivery food almost every day. B: It seems to me that you don’t cook enough at home How come? A: It’s because I’m too tired these days.
50,식사 준비와 배달 서비스에 대한 대화,hi1,A: I’m too tired to cook these days. B: That’s understandable  But make sure you don’t rely on delivery services too much.
51,영화 관람에 대한 대화,hi1,A: Hey Julie. I saw you at the shopping center yesterday. What were you doing there? B: I was there to watch a movie with my family
52,영화에 대한 대화,hi1,"A: Oh, what did you watch? B: The Supers. Have you seen it? A: Yes. I thought it was good, but I was surprised that it had such a low rating"
53,영화에 대한 대화,hi1,B: Some parts of the movie were pretty boring.  I believe that the movie would have been better if it were shorter A: You’ve got a point.
54,수업 중 물을 마시는 것에 대한 대화,md1,"A: May I drink water in class? B: Yes, you may"
55,가위 대여에 대한 대화,md1,"A: Can I borrow your scissors? B: Sure, you can. Here you go"
56,장래 희망에 대한 대화,md1,A: What do you want to be in the future? B: I want to be a tennis player
57,대회 우승을 축하하는 대화,md1,"B: You know what? My team won the soccer tournament. W: Congratulations, Minsu! I’m really happy for you. B: Thanks, Ms. Kim. I’m really happy"
58,전시물에 대한 관람 규칙에 대한 대화,md1,"G: Excuse me. May I touch this golden bear? M: No, you may not You must not touch anything in this room. G: OK, I understand."
59,전시물에 대한 관람 규칙에 대한 대화,md1,"G: Excuse me. May I touch this golden bear? M: No, you may not You must not touch anything in this room. G: OK, I understand."
60,건강 회복에 대한 대화,md1,"A: How do you feel? Still sick? B: Not at all. I feel all right, just like magic."
61,일상적인 생활 습관에 대한 대화,md1,A: What time do you get up? B: I get up at 6
62,운동 습관에 대한 대화,md1,A: How often do you exercise? B: Five times a week
63,노래 대회에 대한 대화,md1,A: You look worried. Why are you worried? B: I have a singing contest
64,새로운 휴대폰에 대한 대화,md1,A: I got a new cell phone. B: I'm happy for you
65,도움 요청에 대한 대화,md1,"A: Can you help me? B: Sorry, I can't"
66,창작의 영감에 대한 대화,hi1,"A: As a content creator, you seem to have so many ideas for your videos. I'm curious about where your creativity comes from. B: I would say it comes from reading books! Reading is like an adventure, and it helps me come up with creative ideas."
67,창작과 창의성에 대한 대화,hi1,"A: As a content creator, you seem to have so many ideas for your videos. I wonder where your creativity comes from. B: I would say it comes from reading books! Reading is like an adventure, and it helps me come up with creative ideas."
68,시간 관리에 대한 대화,hi1,A: I’m not very good at managing my time. B: What are you doing to overcome it? A: I’m making a to-do list. It helps me organize my work and get things done on time. B: That’s wonderful. I’m glad to hear that
69,성공을 위한 노력과 연습에 대한 대화,hi1,A: That’s impressive. You have many young fans who want to be like you. Any words for them? B: I’d like to emphasize that consistent practice is key Keep at it and you will succeed.
